REQUISITION_NUMBER,REQUISITION_HEADER_ID,REQUISITION_LINE_ID,REQ_BU_ID,NAME,CREATION_DATE,FUNDS_STATUS,DESCRIPTION,ATTRIBUTE1,ATTRIBUTE2,ATTRIBUTE3,ATTRIBUTE4,ATTRIBUTE5,ATTRIBUTE6,ATTRIBUTE7,ATTRIBUTE8,ATTRIBUTE9,ATTRIBUTE10,ATTRIBUTE11,ATTRIBUTE12,ATTRIBUTE13,ATTRIBUTE14,ATTRIBUTE15,ATTRIBUTE16,ATTRIBUTE17,ATTRIBUTE18,ATTRIBUTE19,ATTRIBUTE20,LAST_UPDATE_DATE,LINE_NUMBER,LINE_TYPE,UOM_CODE,UNIT_PRICE,ITEM_ID,ITEM_DESCRIPTION,AMOUNT,CURRENCY_AMOUNT,PO_ORDER,SECONDARY_UOM_CODE,SECONDARY_QUANTITY,CREATED_BY,DESTINATION_TYPE_CODE,DESTINATION_ORGANIZATION_ID,SOURCE_TYPE_CODE,DOCUMENT_STATUS,CATEGORY,CONVERSION_TYPE,CONVERSION_DATE,CONVERSION_RATE,LOCATION,VENDOR_ID,VENDOR_SITE_ID,ATTRIBUTE_CATEGORY,ATTRIBUTE1_L,ATTRIBUTE2_L,ATTRIBUTE3_L,ATTRIBUTE_CATEGORY_L,BUDGET_DATE,FUNDS_STATUS,REQUISITION_LINE_ID,PERCENT,DISTRIBUTION_CURRENCY_AMOUNT,DISTRIBUTION,CHARGE_ACCOUNT
217000031,5013,6028,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819282_PR1214843220161020-144355-399_1.txt,LINFOX,12819282,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000112,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-CHL,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6028,100,150000,1,11.00000.117101.000000.00.0000
217000032,5014,6031,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819425_PR1214843220161020-144355-399_1.txt,LINFOX,12819425,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000119,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6031,100,20000,1,11.00000.117101.000000.00.0000
217000032,5014,6032,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819425_PR1214843220161020-144355-399_1.txt,LINFOX,12819425,,,,,,,,,,,,,,,,,,,20171202,2,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000119,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,2.000,,,"20171202 000000",RESERVED,6032,100,15000,1,11.00000.117101.000000.00.0000
217000033,5015,6034,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819418_PR1214843220161020-144355-399_1.txt,LINFOX,12819418,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000120,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6034,100,4500,1,11.00000.117101.000000.00.0000
217000034,5016,6036,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819424_PR1214843220161020-144355-399_1.txt,LINFOX,12819424,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000115,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6036,100,720000,1,11.00000.117101.000000.00.0000
217000035,5017,6039,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819277_PR1214843220161020-144355-399_1.txt,LINFOX,12819277,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000117,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-FZN,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6039,100,60000,1,11.00000.117101.000000.00.0000
217000035,5017,6040,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819277_PR1214843220161020-144355-399_1.txt,LINFOX,12819277,,,,,,,,,,,,,,,,,,,20171202,2,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000117,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-FZN,300000000943255,300000001045007,,,2.000,,,"20171202 000000",RESERVED,6040,100,45000,1,11.00000.117101.000000.00.0000
217000036,5018,6042,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819278_PR1214843220161020-144355-399_1.txt,LINFOX,12819278,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,150,300000001622008,"PEPSI PET 550ML",,,317000110,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-FZN,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6042,100,7350,1,11.00000.117101.000000.00.0000
217000037,5019,6044,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819420_PR1214843220161020-144355-399_1.txt,LINFOX,12819420,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000111,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6044,100,19200,1,11.00000.117101.000000.00.0000
217000038,5020,6046,300000000944230,"RESTAURANTS DEVELOPMENT COMPANY LIMITED",20171202,RESERVED,LINFOX_12819421_PR1214843220161020-144355-399_1.txt,LINFOX,12819421,,,,,,,,,,,,,,,,,,,20171202,1,Goods,PCS,200,300000001630252,"BROWN BUN",,,317000118,,,WWP-PROCUREMENT,INVENTORY,300000001870244,EXTERNAL,APPROVED,,,,,LFX-AMB,300000000943255,300000001045007,,,1.000,,,"20171202 000000",RESERVED,6046,100,480000,1,11.00000.117101.000000.00.0000
