invoice,date,store,before vat,Vat,Total,price,quantity,before vat,Vat,Total,
1707X07521,08-07-2017,1555, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07523,08-07-2017,1727," 1,623.60 ", 113.65 ," 1,737.25 ",27.06, 60.00 ," 1,623.60 ", 113.65 ," 1,737.25 ",
1707X07687,08-07-2017,1652, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X07689,08-07-2017,1512, 541.20 , 37.88 , 579.08 ,27.06, 20.00 , 541.20 , 37.88 , 579.08 ,
1707X07692,08-07-2017,1686, 324.72 , 22.73 , 347.45 ,27.06, 12.00 , 324.72 , 22.73 , 347.45 ,
1707X07728,08-07-2017,1668, 270.60 , 18.94 , 289.54 ,27.06, 10.00 , 270.60 , 18.94 , 289.54 ,
1707X07730,08-07-2017,1445, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X07731,08-07-2017,1402, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X07733,08-07-2017,1609, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X07761,09-07-2017,1570," 1,082.40 ", 75.77 ," 1,158.17 ",27.06, 40.00 ," 1,082.40 ", 75.77 ," 1,158.17 ",
1707X07784,09-07-2017,1551, 348.60 , 24.40 , 373.00 ,34.86, 10.00 , 348.60 , 24.40 , 373.00 ,
1707X07920,09-07-2017,1346, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X07946,09-07-2017,1689, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X07947,09-07-2017,2234, 811.80 , 56.83 , 868.63 ,27.06, 30.00 , 811.80 , 56.83 , 868.63 ,
1707X07950,09-07-2017,1423, 405.90 , 28.41 , 434.31 ,27.06, 15.00 , 405.90 , 28.41 , 434.31 ,
1707X07973,09-07-2017,1640, 633.60 , 44.35 , 677.95 ,31.68, 20.00 , 633.60 , 44.35 , 677.95 ,
